ID;Variante;Text;Verbindung;
01;Antwort;Ja, ich möchte gerne ein paar Lose kaufen.;4
02;Antwort;Ja, aber ich habe Bedenken wegen meines Spielverhaltens.;4
03;Antwort;Du entscheidest dich wieder zu gehen.;4
04;Antwort;Ja,das ist eine gute Idee. Bitte helfen Sie mir, ein wöchentliches Limit festzulegen.;4
05;Antwort;Nein, danke. Ich denke, ich kann es im Griff behalten.;4
06;Antwort;Ja, ich denke, das wäre eine vernünftige Maßnahme. Aber ich möchte dennoch ein paar Lose kaufen. Gibt es Möglichkeiten, wie Sie mich dabei unterstützen können?;4
07;Antwort;Eigentlich wollte ich nur ein paar Informationen, ich gehe lieber ohne Lose.;4
08;Antwort;Du bedankst dich für die Unterstützung und gibst dem Mitarbeiter den gewünschten Betrag für das wöchentliche Limit.;4
09;Antwort;Eigentlich möchte ich es mir nochmal überlegen. Ich komme später darauf zurück.;4
10;Antwort;Du stimmst zu und kaufst die gewünschten Lose ohne Limit.;4
11;Antwort;Du entscheidest dich, später wiederzukommen, um ein Limit festzulegen.;4
12;Antwort;Ja, das klingt sinnvoll. Bitte helfen Sie mir dabei, ein Limit festzulegen.;4
13;Antwort;Vielleicht ist es besser, wenn ich heute keine Lose kaufe. Ich werde das zuerst mit meinen Freunden besprechen.;4
14;Antwort;Du bedankst dich und verlässt die Lotterieeinnahmestelle.;4
15;Antwort;Du entscheidest dich dafür, nur eine begrenzte Anzahl von Losen zu kaufen, ohne ein Limit festzulegen.;4
